company_id,company_name,t,deal_id,deal_date,raw_stage,obs_token,deal_size_usd_mn,log_raise,company_revenue_curr_mn,delta_days,is_last_event
619654,ACQUANDAS GmbH,1,V370414,2024-02-01,Add-on,ADDON,,,,676.0,1
619679,Provalabs,1,V370433,2024-02-05,Seed,Seed,,,,672.0,1
619711,Brenus Pharma,1,V394570,2024-09-18,Series A,Series A,24.61,3.242982900211434,,446.0,1
619762,Aufwind Youth Welfare GmbH,1,V393714,2023-06-01,Unspecified Round,UNSPEC,,,,921.0,1
619767,Ostique Limited,1,V370468,2024-01-19,Unspecified Round,UNSPEC,0.75,0.5596157879354227,,689.0,1
619821,"Trak Health Solutions, SL",1,V370502,2024-02-01,Unspecified Round,UNSPEC,1.4,0.8754687373538999,,676.0,1
619830,"Avation Medical, Inc.",1,V370612,2024-02-01,Series C,Series C,22.0,3.1354942159291497,,676.0,1
619844,Josan-she's Inc.,1,V370511,2024-02-05,Seed,Seed,,,,672.0,1
619852,"Vektor Medical, Inc.",1,V370520,2024-02-02,Series A,Series A,28.9,3.3978584803966405,,675.0,1
619879,Guoyi Yilian,1,V370526,2024-02-06,Series A,Series A,,,,671.0,1
619906,"AnBogen Therapeutics, Inc.",1,V370550,2024-02-01,Series A,Series A,12.5,2.6026896854443837,,,0
619906,"AnBogen Therapeutics, Inc.",2,V386172,2024-07-01,Series A,Series A,7.3,2.1162555148025524,,525.0,1
619930,Wellola,1,V370566,2022-05-23,Unspecified Round,UNSPEC,1.06,0.7227059828014898,,,0
619930,Wellola,2,V370569,2023-12-01,Unspecified Round,UNSPEC,1.9,1.0647107369924282,,,0
619930,Wellola,3,V376291,2024-03-28,Unspecified Round,UNSPEC,2.37,1.2149127443642704,,620.0,1
